Auth1,Auth2
"Roth,W.W.","Bond,C.V."
"Zuberi,J.A.","Stringer,H.G."
"Zuberi,J.A.","Davidson,S.K."
"Zuberi,J.A.","Bond,C.V."
"Stringer,H.G.","Davidson,S.K."
"Stringer,H.G.","Bond,C.V."
"Davidson,S.K.","Bond,C.V."
"Roth,W.W.","Zuberi,J.A."
"Roth,W.W.","Stringer,H.G."
"Roth,W.W.","Davidson,S.K."
"Roth,W.W.","Bond,C.V."
"Zuberi,J.A.","Stringer,H.G."
"Zuberi,J.A.","Davidson,S.K."
"Zuberi,J.A.","Bond,C.V."
"Stringer,H.G.","Davidson,S.K."
"Stringer,H.G.","Bond,C.V."
"Davidson,S.K.","Bond,C.V."
"Guan,Y.","Shortridge,K.F."
"Guan,Y.","Krauss,S."
"Guan,Y.","Li,P.H."
"Guan,Y.","Kawaoka,Y."
"Guan,Y.","Webster,R.G."
"Shortridge,K.F.","Krauss,S."
"Shortridge,K.F.","Li,P.H."
"Shortridge,K.F.","Kawaoka,Y."
"Shortridge,K.F.","Webster,R.G."
"Krauss,S.","Li,P.H."
"Krauss,S.","Kawaoka,Y."
"Krauss,S.","Webster,R.G."
"Li,P.H.","Kawaoka,Y."
"Li,P.H.","Webster,R.G."
"Kawaoka,Y.","Webster,R.G."
"Wolinsky,S.M.","Ganeshan,S."
"Wolinsky,S.M.","Korber,B.T."
"Wolinsky,S.M.","Dickover,R."
"Wolinsky,S.M.","Bryson,Y."
"Ganeshan,S.","Korber,B.T."
"Ganeshan,S.","Dickover,R."
"Ganeshan,S.","Bryson,Y."
"Korber,B.T.","Dickover,R."
"Korber,B.T.","Bryson,Y."
"Dickover,R.","Bryson,Y."
"Mason,C.L.","Leong,J.C."
"McCutchan,F.E.","Artenstein,A.W."
"McCutchan,F.E.","Sanders-Buell,E."
"McCutchan,F.E.","Slaminen,M.O."
"McCutchan,F.E.","Carr,J.K."
"McCutchan,F.E.","Mascola,J.R."
"Artenstein,A.W.","Sanders-Buell,E."
"Artenstein,A.W.","Slaminen,M.O."
"Artenstein,A.W.","Carr,J.K."
"Artenstein,A.W.","Mascola,J.R."
"Sanders-Buell,E.","Slaminen,M.O."
"Sanders-Buell,E.","Carr,J.K."
"Sanders-Buell,E.","Mascola,J.R."
"Slaminen,M.O.","Carr,J.K."
"Slaminen,M.O.","Mascola,J.R."
"Carr,J.K.","Mascola,J.R."
"Guan,Y.","Shortridge,K.F."
"Guan,Y.","Krauss,S."
"Guan,Y.","Li,P.H."
"Guan,Y.","Kawaoka,Y."
"Guan,Y.","Webster,R.G."
"Shortridge,K.F.","Krauss,S."
"Shortridge,K.F.","Li,P.H."
"Shortridge,K.F.","Kawaoka,Y."
"Shortridge,K.F.","Webster,R.G."
"Krauss,S.","Li,P.H."
"Krauss,S.","Kawaoka,Y."
"Krauss,S.","Webster,R.G."
"Li,P.H.","Kawaoka,Y."
"Li,P.H.","Webster,R.G."
"Kawaoka,Y.","Webster,R.G."
"Lindstrom,S.E.","Sugita,S."
"Lindstrom,S.E.","Endo,A."
"Lindstrom,S.E.","Ishida,M."
"Lindstrom,S.E.","Huang,P."
"Lindstrom,S.E.","Xi,S.H"
"Lindstrom,S.E.",",Nerome,K."
"Sugita,S.","Endo,A."
"Sugita,S.","Ishida,M."
"Sugita,S.","Huang,P."
"Sugita,S.","Xi,S.H"
"Sugita,S.",",Nerome,K."
"Endo,A.","Ishida,M."
"Endo,A.","Huang,P."
"Endo,A.","Xi,S.H"
"Endo,A.",",Nerome,K."
"Ishida,M.","Huang,P."
"Ishida,M.","Xi,S.H"
"Ishida,M.",",Nerome,K."
"Huang,P.","Xi,S.H"
"Huang,P.",",Nerome,K."
"Xi,S.H",",Nerome,K."
"Parker,M.L.","Doermann,A.H."
"Muramatsu,S.","Brown,K.E."
