"Auth1","Auth2"
"Kamada,M.","Matsuda,H."
"Yoshida,H.","Yoneyama,T."
"Yoshida,H.","Yoshii,K."
"Yoshida,H.","Thanh,N.H."
"Yoshida,H.","Oanh,P.N."
"Yoshida,H.","Lien,H.P."
"Yoshida,H.","Miyamura,T."
"Yoshida,H.","Hagiwara,A."
"Yoneyama,T.","Yoshii,K."
"Yoneyama,T.","Thanh,N.H."
"Yoneyama,T.","Oanh,P.N."
"Yoneyama,T.","Lien,H.P."
"Yoneyama,T.","Miyamura,T."
"Yoneyama,T.","Hagiwara,A."
"Yoshii,K.","Thanh,N.H."
"Yoshii,K.","Oanh,P.N."
"Yoshii,K.","Lien,H.P."
"Yoshii,K.","Miyamura,T."
"Yoshii,K.","Hagiwara,A."
"Thanh,N.H.","Oanh,P.N."
"Thanh,N.H.","Lien,H.P."
"Thanh,N.H.","Miyamura,T."
"Thanh,N.H.","Hagiwara,A."
"Oanh,P.N.","Lien,H.P."
"Oanh,P.N.","Miyamura,T."
"Oanh,P.N.","Hagiwara,A."
"Lien,H.P.","Miyamura,T."
"Lien,H.P.","Hagiwara,A."
"Miyamura,T.","Hagiwara,A."
"Yamanaka,A.","Hayakawa,Y."
"Yamanaka,A.","Noda,H."
"Yamanaka,A.","Nakashima,N."
"Yamanaka,A.","Watanabe,H."
"Hayakawa,Y.","Noda,H."
"Hayakawa,Y.","Nakashima,N."
"Hayakawa,Y.","Watanabe,H."
"Noda,H.","Nakashima,N."
"Noda,H.","Watanabe,H."
